family,system,metric,n,mean,ci_lower,ci_upper,bootstrap_iterations
structured,Qwen3-VL 8B,overall_extraction_score,53,0.213745,0.199368,0.229049,5000
structured,Qwen3-VL 8B,entity_lenient_f1,53,0.047985,0.029472,0.069608,5000
structured,LLaVA 13B,overall_extraction_score,53,0.150943,0.137736,0.164151,5000
structured,LLaVA 13B,entity_lenient_f1,53,0.0,0.0,0.0,5000
structured,GLM-OCR + qwen3:8b,overall_extraction_score,53,0.353226,0.328838,0.375943,5000
structured,GLM-OCR + qwen3:8b,entity_lenient_f1,53,0.076358,0.050236,0.106223,5000
structured,docTR + qwen3:8b,overall_extraction_score,53,0.319223,0.296192,0.343134,5000
structured,docTR + qwen3:8b,entity_lenient_f1,53,0.043713,0.023262,0.068581,5000
structured,TrOCR + qwen3:8b,overall_extraction_score,53,0.269511,0.250474,0.286458,5000
structured,TrOCR + qwen3:8b,entity_lenient_f1,53,0.000787,0.0,0.00236,5000
raw_ocr,GLM-OCR,token_f1,53,0.246423,0.22504,0.268923,5000
raw_ocr,docTR,token_f1,53,0.198038,0.172885,0.22247,5000
raw_ocr,TrOCR,token_f1,53,0.008168,0.006649,0.009772,5000
raw_ocr,Docling,token_f1,43,0.148033,0.122172,0.173493,5000
raw_ocr,Surya,token_f1,25,0.239476,0.220052,0.257312,5000
