section,system,coverage,records_attempted,records_schema_valid,schema_parse_success,scalar_exact_accuracy,scalar_lenient_accuracy,entity_exact_f1,entity_lenient_f1,hallucination_rate,missing_entity_rate,annotation_gap_rate,overall_extraction_score,records_nonempty,ocr_f1,text_similarity,runtime,label,notes
raw_ocr,GLM-OCR,53/53,53,,,,,,,,,,,53,0.2464,0.1874,2.6471,full_53_raw_ocr,Accepted Server 1 full benchmark raw OCR baseline.
raw_ocr,docTR,53/53,53,,,,,,,,,,,53,0.1980,0.1851,9.1378,full_53_raw_ocr,Server 2 OCR handoff re-benchmarked locally with the Stage 1B raw OCR evaluator.
raw_ocr,TrOCR,53/53,53,,,,,,,,,,,53,0.0082,0.0098,6.6103,full_53_raw_ocr,Server 2 OCR handoff re-benchmarked locally with the Stage 1B raw OCR evaluator.
raw_ocr,Docling,53/53,53,,,,,,,,,,,53,0.1536,0.1529,50.4308,full_53_raw_ocr,Extended final pass using the imported Server 2 OCR handoff.
raw_ocr,Surya,53/53,53,,,,,,,,,,,53,0.2362,0.1873,138.0848,full_53_raw_ocr,Extended final pass using the imported Server 2 OCR handoff.
raw_ocr,EasyOCR,53/53,53,,,,,,,,,,,53,0.1606,0.1728,15.0650,full_53_raw_ocr,Extended final pass using the imported Server 2 OCR handoff.
raw_ocr,Qwen2.5-VL raw OCR,52/53,53,,,,,,,,,,,45,0.4449,0.1636,16.2,coverage_limited_52_53_with_metrics,Qwen2.5-VL raw OCR: 52/53 documents recovered (p26 unrecovered); per-document scores computed via canonical raw OCR evaluator. Excluded from primary full-53 paired tests because coverage is 52/53.
raw_ocr,Marker,19/53,19,,,,,,,,,,,19,0.1221,0.1264,295.9645,partial_interim_raw_ocr,Only 19 usable Marker rows available in the imported handoff (Server 2 had 39 but handoff was limited). Keep separate from full-53 comparisons.
structured_direct,Internal Qwen3-27B compact recovered-plus,53/53,53,53,1.0000,0.5714,0.6415,0.0639,0.1786,0.1246,0.6869,0.4147,0.4039,,,,,recovered_plus_coverage_with_frozen_scored_fields,Coverage and schema-validity are from stage1b_extended_qwen3_27b_merged_plus_metrics.csv (53/53 after p45_2 retry). Scored extraction fields remain the latest imported recovered values from paper_assets/tables/server2/stage1b_server2_ppt_aligned_metrics.csv.
structured_direct,qwen3-vl:8b-instruct,48/53,53,48,0.9057,0.6191,0.6935,0.0117,0.0530,0.0000,0.9219,,0.3549,,,,19.7501,full_53_direct_vlm,Accepted Server 1 local direct structured baseline.
structured_direct,llava:13b,27/53,53,27,0.5094,0.4815,0.4868,0.0000,0.0000,0.0000,1.0000,,0.2483,,,,7.1591,full_53_direct_vlm_diagnostic,Accepted diagnostic direct structured baseline.
structured_direct,Qwen2.5-VL structured,45/53,53,45,0.8491,0.4421,0.4677,,0.0000,0.0535,1.0000,0.6588,0.2731,,,,7.4,coverage_limited_52_53_with_metrics,Qwen2.5-VL structured: 52/53 documents recovered (p36_1 structured unrecovered); 45/53 schema-valid (8 schema failures). Per-document scores computed via compact-to-canonical adapter. Excluded from primary full-53 paired tests because coverage is 52/53.
hybrid_pipeline,GLM-OCR + qwen3:8b,50/53,53,50,0.9434,0.5800,0.6586,0.0244,0.0809,0.0337,0.8851,0.7772,0.3628,,,,23.3147,full_53_hybrid_pipeline,Accepted Server 1 OCR-to-JSON pipeline.
hybrid_pipeline,docTR + qwen3:8b,49/53,53,49,0.9245,0.5146,0.5831,0.0140,0.0473,0.0287,0.9386,0.8042,0.3296,,,,18.9745,full_53_hybrid_pipeline,Imported Server 2 OCR handoff evaluated locally.
hybrid_pipeline,TrOCR + qwen3:8b,48/53,53,48,0.9057,0.4330,0.4345,0.0009,0.0009,0.0026,0.9992,0.4314,0.2777,,,,47.3863,full_53_hybrid_pipeline_low_quality,Imported Server 2 OCR handoff evaluated locally.
hybrid_pipeline,EasyOCR + qwen3:8b,52/53,53,52,0.9811,0.4327,0.4327,0.0008,0.0008,0.0000,0.9993,0.0000,0.2851,,,,20.6328,full_53_hybrid_pipeline,Consolidated from the completed background hybrid run.
hybrid_pipeline,Surya + qwen3:8b,52/53,53,52,0.9811,0.4231,0.4231,0.0008,0.0008,0.0000,0.9993,0.0000,0.2832,,,,21.1282,full_53_hybrid_pipeline,Consolidated from the completed background hybrid run.
hybrid_pipeline,Docling + qwen3:8b,52/53,53,52,0.9811,0.4396,0.4409,0.0008,0.0008,0.0000,0.9993,0.0000,0.2868,,,,12.0035,full_53_hybrid_pipeline,Consolidated from the completed background hybrid run.
hybrid_pipeline,Marker + qwen3:8b partial,19/53,53,19,0.3585,0.4887,0.4887,0.0000,0.0000,0.0000,1.0000,0.0000,0.2336,,,,9.5529,partial_interim_hybrid,Only a partial/import-limited lane was available (19/53). Keep separate from full-53 comparisons.
