model,track,coverage,timestamp,output_directory
glm_ocr,raw_ocr,125/125,2026-07-03T15:03:42.350772+00:00,benchmark/final/artifacts/glm_ocr
doctr,raw_ocr,125/125,2026-07-09T07:39:37+00:00,benchmark/final/artifacts/doctr
easyocr,raw_ocr,125/125,2026-07-09T07:39:38+00:00,benchmark/final/artifacts/easyocr
trocr,raw_ocr,125/125,2026-07-09T07:39:38+00:00,benchmark/final/artifacts/trocr
surya,raw_ocr,125/125,2026-07-09T07:39:38+00:00,benchmark/final/artifacts/surya
docling,raw_ocr,125/125,2026-07-09T07:39:39+00:00,benchmark/final/artifacts/docling
qwen3_vl_raw_ocr,raw_ocr,125/125,2026-07-03T15:56:15.363598+00:00,benchmark/final/artifacts/qwen3_vl_raw_ocr
qwen3_vl,direct_vlm,125/125,2026-07-09T07:39:39+00:00,benchmark/final/artifacts/qwen3_vl
google_gemini_2_5_flash,direct_vlm,125/125,2026-07-09T07:39:42+00:00,benchmark/final/artifacts/google_gemini_2_5_flash
hf_qwen25_vl_72b,direct_vlm,76/125,2026-07-09T07:39:42+00:00,benchmark/final/artifacts/hf_qwen25_vl_72b
qwen3_27b,direct_vlm,125/125,2026-07-09T07:39:40+00:00,benchmark/final/artifacts/qwen3_27b
qwen25_vl_7b_local,direct_vlm,125/125,2026-07-09T07:39:40+00:00,benchmark/final/artifacts/qwen25_vl_7b_local
ollama_llava_13b,direct_vlm,0/125,2026-07-03T16:45:26.553435+00:00,benchmark/final/artifacts/ollama_llava_13b
ollama_qwen3_vl_8b,hybrid,0/125,2026-07-03T16:31:16.376482+00:00,benchmark/final/artifacts/ollama_qwen3_vl_8b
glm_ocr_qwen3_8b,hybrid,123/125,2026-07-09T12:18:13.706820+00:00,benchmark/final/artifacts/glm_ocr_qwen3_8b
doctr_qwen3_8b,hybrid,125/125,2026-07-09T07:39:41+00:00,benchmark/final/artifacts/doctr_qwen3_8b
easyocr_qwen3_8b,hybrid,125/125,2026-07-09T07:39:41+00:00,benchmark/final/artifacts/easyocr_qwen3_8b
trocr_qwen3_8b,hybrid,125/125,2026-07-09T07:39:42+00:00,benchmark/final/artifacts/trocr_qwen3_8b
surya_qwen3_8b,hybrid,117/125,2026-07-09T12:18:13.706820+00:00,benchmark/final/artifacts/surya_qwen3_8b
docling_qwen3_8b,hybrid,124/125,2026-07-09T12:18:13.706820+00:00,benchmark/final/artifacts/docling_qwen3_8b
qwen3_vl_raw_ocr_qwen3_8b,hybrid,119/125,2026-07-09T12:18:13.706820+00:00,benchmark/final/artifacts/qwen3_vl_raw_ocr_qwen3_8b
glm_ocr_qwen25_14b,hybrid,92/125,2026-07-09T12:57:16.788691+00:00,benchmark/final/artifacts/glm_ocr_qwen25_14b
doctr_qwen25_14b,hybrid,108/125,2026-07-09T12:57:16.788691+00:00,benchmark/final/artifacts/doctr_qwen25_14b
easyocr_qwen25_14b,hybrid,112/125,2026-07-09T12:57:16.788691+00:00,benchmark/final/artifacts/easyocr_qwen25_14b
trocr_qwen25_14b,hybrid,124/125,2026-07-09T12:57:16.788691+00:00,benchmark/final/artifacts/trocr_qwen25_14b
surya_qwen25_14b,hybrid,102/125,2026-07-09T12:57:16.788691+00:00,benchmark/final/artifacts/surya_qwen25_14b
docling_qwen25_14b,hybrid,106/125,2026-07-09T12:57:16.788691+00:00,benchmark/final/artifacts/docling_qwen25_14b
qwen3_vl_raw_ocr_qwen25_14b,hybrid,95/125,2026-07-09T12:57:16.788691+00:00,benchmark/final/artifacts/qwen3_vl_raw_ocr_qwen25_14b
