document_id,engine,department_inferred,is_multi_page,is_same_page_multi_view,non_empty_output,ocr_chars,gt_chars,cer,wer,normalized_edit_similarity,token_precision,token_recall,token_f1,numeric_token_recall,patient_name_recall_proxy,date_recall_proxy,age_gender_recall_proxy,medication_recall_proxy,vitals_recall_proxy,complaints_diagnosis_recall_proxy,runtime_seconds
p1,docling,Ophthalmology,false,false,1,893,1485,0.7758,0.9414,0.2242,0.3099,0.1982,0.2418,0.0294,0.0,0.0,0.0,0.0,0.0,0.0,43.45
p2,docling,Ophthalmology,false,false,1,980,1983,0.7993,0.9248,0.2007,0.2562,0.1285,0.1712,0.3095,0.0,0.0,0.0,0.3333,0.0,0.25,48.522
p3,docling,Ophthalmology,false,false,1,859,1695,0.7959,0.9578,0.2041,0.104,0.0549,0.0718,0.125,0.0,0.0,0.0,0.4286,0.0,0.0,40.088
p4,docling,Ophthalmology,false,false,1,886,2167,0.7928,0.9056,0.2072,0.4118,0.1652,0.2358,0.434,0.0,0.0,1.0,0.0,0.0,0.5,59.031
p5,docling,Ophthalmology,false,false,1,925,2329,0.7995,0.9218,0.2005,0.3958,0.1592,0.2271,0.4898,0.25,0.0,0.0,0.0,0.0,0.1667,53.789
p6,docling,Ophthalmology,false,false,1,1816,2344,0.8003,0.9282,0.1997,0.4023,0.1862,0.2545,0.2632,0.0,0.0,1.0,0.0,0.0,0.25,52.356
p7,docling,Ophthalmology,false,false,1,1516,2354,0.8118,0.9268,0.1882,0.3816,0.1634,0.2288,0.5094,0.0,0.0,0.0,0.0,0.0,0.0,55.425
p8,docling,Ophthalmology,false,false,1,1876,2780,0.8129,0.9492,0.1871,0.398,0.1801,0.248,0.7375,1.0,0.0,0.0,0.0,0.0,0.0,58.146
p9,docling,Ophthalmology,false,false,1,1450,1770,0.796,0.9331,0.204,0.1548,0.0945,0.1174,0.24,0.5,0.0,0.0,0.0,0.0,0.0,45.878
p10,docling,Ophthalmology,false,false,1,1919,2205,0.8045,0.9238,0.1955,0.3571,0.2199,0.2722,0.2414,1.0,0.0,0.0,0.0,0.0,0.0,59.136
p11,docling,Ophthalmology,false,false,1,1498,2030,0.8182,0.941,0.1818,0.223,0.1076,0.1452,0.4483,0.5,0.0,0.5,0.2,0.0,0.0,42.135
p12,docling,Ophthalmology,false,false,1,1965,2849,0.8038,0.9256,0.1962,0.4115,0.1837,0.254,0.5729,0.0,0.0,1.0,0.0,0.0,0.0,57.456
p13,docling,Ophthalmology,false,false,1,1496,2311,0.7975,0.9229,0.2025,0.3986,0.1629,0.2312,0.4878,0.0,0.0,0.0,0.2,0.0,0.75,47.896
p14,docling,Ophthalmology,false,false,1,635,1889,0.8274,0.9144,0.1726,0.4545,0.1541,0.2302,0.025,0.0,0.0,0.0,0.0,0.0,0.0,36.936
p15,docling,Ophthalmology,false,false,1,851,2819,0.8276,0.9222,0.1724,0.4961,0.1382,0.2162,0.4066,0.0,0.0,0.0,0.6667,0.0,0.0,49.155
p16,docling,Ophthalmology,false,false,1,812,2108,0.8093,0.9096,0.1907,0.4274,0.1545,0.227,0.2321,0.0,0.0,0.0,0.0,0.0,0.0,48.545
p17,docling,Ophthalmology,false,false,1,1224,2002,0.8017,0.8926,0.1983,0.4815,0.1994,0.282,0.1765,0.0,0.0,0.0,0.0,0.0,0.0,52.422
p18,docling,Ophthalmology,false,false,1,770,2070,0.8039,0.9059,0.1961,0.3967,0.1412,0.2082,0.4375,0.0,0.0,0.0,0.0,0.0,0.3333,49.204
p19,docling,Ophthalmology,false,false,1,1629,3367,0.8215,0.9342,0.1785,0.2627,0.1071,0.1522,0.6277,0.0,0.0,0.0,0.25,0.0,0.0,60.806
p20,docling,Ophthalmology,false,false,1,755,2690,0.8483,0.9343,0.1517,0.4831,0.1439,0.2218,0.4355,0.0,0.0,0.0,0.0,0.0,0.0,45.207
p21,docling,Ophthalmology,false,false,1,963,2566,0.8055,0.906,0.1945,0.5,0.1812,0.266,0.5312,0.0,0.0,0.0,0.0,0.0,0.7143,53.696
p22,docling,Ophthalmology,false,false,1,882,2139,0.8378,0.8876,0.1622,0.5,0.1348,0.2124,0.381,0.0,0.0,0.0,0.0,0.0,0.0,52.51
p23,docling,Ophthalmology,false,false,1,1731,3712,0.8349,0.9405,0.1651,0.4091,0.1338,0.2017,0.6377,0.0,0.0,0.0,0.1111,0.0,0.0,58.413
p24,docling,Ophthalmology,false,false,1,1504,3413,0.8356,0.9247,0.1644,0.4759,0.1332,0.2081,0.4247,0.0,0.0,0.0,0.0,0.0,0.5,86.2
p25_1,docling,Medicine / General Medicine,true,false,1,473,3395,0.9031,0.9752,0.0969,0.2456,0.0289,0.0518,0.4694,0.0,0.0,1.0,0.0,0.75,0.0,45.564
p26,docling,Medicine / General Medicine,true,false,1,623,4959,0.9123,0.984,0.0877,0.2174,0.0267,0.0476,0.629,0.0,0.0,0.0,0.0,0.5,0.3125,39.157
p27,docling,Medicine / General Medicine,true,false,1,97,7161,0.9887,0.9981,0.0113,0.25,0.0038,0.0074,0.3727,0.0,0.0,0.0,0.0,0.0,0.0526,43.126
p28,docling,Medicine / General Medicine,true,false,1,857,6330,0.9038,0.982,0.0962,0.2574,0.0292,0.0524,0.6282,0.25,0.0,1.0,0.0,0.0,0.36,51.303
p29,docling,Medicine / General Medicine,true,false,1,791,6343,0.91,0.9812,0.09,0.2805,0.0254,0.0466,0.6203,1.0,0.0,1.0,0.0,0.5,0.1765,45.13
p30,docling,Medicine / General Medicine,true,false,1,364,5431,0.9457,0.9881,0.0543,0.28,0.0184,0.0346,0.2542,0.0,0.0,0.0,0.3333,0.0,0.0952,42.03
p31_1,docling,Surgery,true,false,1,744,5841,0.906,0.9771,0.094,0.2653,0.0314,0.0561,0.6351,0.3333,0.0,0.0,0.5,0.0,0.2667,39.053
p32_1,docling,Surgery,true,false,1,686,3754,0.8681,0.969,0.1319,0.3059,0.0474,0.082,0.6444,0.3333,0.0,1.0,0.0,0.0,0.3333,38.57
p33_1,docling,Medicine / General Medicine,true,false,1,44,4667,0.9923,0.9958,0.0077,0.3,0.0042,0.0082,0.2603,0.0,0.0,0.0,0.0,0.0,0.0,36.112
p34_1,docling,Medicine / General Medicine,true,false,1,233,5134,0.9626,0.9921,0.0374,0.2424,0.0106,0.0202,0.2,0.0,0.0,0.0,0.0,0.0,0.0,41.533
p35_1,docling,Medicine / General Medicine,true,false,1,474,5020,0.9315,0.9784,0.0685,0.3276,0.0257,0.0476,0.5147,0.0,0.0,1.0,0.5,0.0,0.0,44.439
p36_1,docling,Endocrinology,true,false,1,1049,3600,0.8439,0.9584,0.1561,0.2517,0.0669,0.1057,0.5904,1.0,1.0,1.0,0.3333,0.1667,0.375,49.764
p37_1,docling,Dermatology,false,true,1,1080,5667,0.8666,0.9729,0.1334,0.2482,0.0419,0.0717,0.5114,0.0,1.0,1.0,0.1818,0.0,0.0,45.886
p38_1,docling,Medicine / General Medicine,false,false,1,713,5021,0.894,0.9642,0.106,0.3441,0.0441,0.0781,0.6667,1.0,1.0,1.0,0.4,0.0,0.25,30.975
p39_1,docling,Medicine / General Medicine,false,false,1,969,3745,0.8342,0.9554,0.1658,0.3051,0.0642,0.106,0.5312,1.0,1.0,1.0,0.0,0.0,0.0,31.429
p40_1,docling,Radiotherapy,true,false,1,1498,6162,0.8484,0.9477,0.1516,0.433,0.0879,0.1461,0.5047,1.0,1.0,1.0,0.0,0.4444,0.1765,49.204
p41_1,docling,Medicine / General Medicine,false,false,1,881,4217,0.8599,0.9485,0.1401,0.3784,0.0698,0.1178,0.6625,1.0,1.0,1.0,0.0,0.0,0.0,31.994
p42_1,docling,Endocrinology,false,true,1,663,6277,0.9197,0.9684,0.0803,0.4835,0.0464,0.0846,0.3465,0.6667,1.0,0.5,0.0,0.5,0.0,53.273
p43_1,docling,Medicine / General Medicine,true,false,1,961,5847,0.8847,0.9691,0.1153,0.2824,0.0439,0.0761,0.5929,1.0,1.0,1.0,0.2,0.0,0.0,38.65
