document_id,engine,department_inferred,is_multi_page,is_same_page_multi_view,non_empty_output,ocr_chars,gt_chars,cer,wer,normalized_edit_similarity,token_precision,token_recall,token_f1,numeric_token_recall,patient_name_recall_proxy,date_recall_proxy,age_gender_recall_proxy,medication_recall_proxy,vitals_recall_proxy,complaints_diagnosis_recall_proxy,runtime_seconds
p1,doctr,Ophthalmology,false,false,1,779,1485,0.7684,0.9369,0.2316,0.3172,0.2072,0.2507,0.0294,0.0,0.0,0.0,0.0,0.0,0.0,7.875
p2,doctr,Ophthalmology,false,false,1,950,1983,0.7837,0.9248,0.2163,0.3005,0.1724,0.2191,0.3095,0.0,0.0,0.0,0.6667,0.0,0.5,8.499
p3,doctr,Ophthalmology,false,false,1,815,1695,0.7811,0.9494,0.2189,0.1429,0.0886,0.1094,0.5625,0.3333,0.0,1.0,0.5714,0.0,0.0,8.47
p4,doctr,Ophthalmology,false,false,1,932,2167,0.7836,0.9381,0.2164,0.337,0.1829,0.2371,0.434,0.0,0.0,1.0,0.0,0.0,0.5,8.4
p5,doctr,Ophthalmology,false,false,1,964,2329,0.7707,0.9274,0.2293,0.3842,0.2039,0.2664,0.6122,0.25,0.0,1.0,0.0,0.0,0.3333,8.593
p6,doctr,Ophthalmology,false,false,1,840,2344,0.7978,0.9122,0.2022,0.4204,0.1755,0.2477,0.1228,0.0,0.0,1.0,0.6667,0.0,0.25,8.301
p7,doctr,Ophthalmology,false,false,1,945,2354,0.7893,0.9211,0.2107,0.3978,0.2028,0.2687,0.6415,0.0,0.0,1.0,0.5,0.0,0.0,8.067
p8,doctr,Ophthalmology,false,false,1,1090,2780,0.7867,0.933,0.2133,0.3636,0.1848,0.245,0.7375,0.5,0.0,0.0,0.0,0.0,0.0,9.032
p9,doctr,Ophthalmology,false,false,1,771,1770,0.7893,0.937,0.2107,0.2571,0.1417,0.1827,0.36,0.5,0.0,1.0,0.0,0.0,0.0,7.8
p10,doctr,Ophthalmology,false,false,1,950,2205,0.7719,0.9208,0.2281,0.3763,0.2053,0.2657,0.5,0.0,0.0,0.0,0.5,0.0,0.5,10.386
p11,doctr,Ophthalmology,false,false,1,772,2030,0.7862,0.934,0.2138,0.3636,0.1806,0.2413,0.4828,0.75,0.0,0.5,0.2,0.0,0.0,10.329
p12,doctr,Ophthalmology,false,false,1,951,2849,0.8024,0.9233,0.1976,0.5053,0.2233,0.3097,0.6354,0.0,0.0,1.0,0.4,0.0,0.0,9.596
p13,doctr,Ophthalmology,false,false,1,815,2311,0.7884,0.9143,0.2116,0.4038,0.18,0.249,0.3415,0.5,1.0,0.0,0.6,0.0,0.75,8.559
p14,doctr,Ophthalmology,false,false,1,297,1889,0.8751,0.9863,0.1249,0.0429,0.0205,0.0278,0.025,0.0,0.0,0.0,0.0,0.0,0.0,7.715
p15,doctr,Ophthalmology,false,false,1,976,2819,0.8038,0.9309,0.1962,0.4211,0.1728,0.245,0.7692,0.0,0.0,1.0,0.3333,0.0,0.0,8.169
p16,doctr,Ophthalmology,false,false,1,825,2108,0.7851,0.8805,0.2149,0.4224,0.1983,0.2698,0.2321,0.0,0.0,0.0,0.0,0.0,0.0,7.873
p17,doctr,Ophthalmology,false,false,1,798,2002,0.7702,0.8896,0.2298,0.4129,0.1963,0.2661,0.0588,0.0,0.0,0.0,0.0,0.0,0.0,7.769
p18,doctr,Ophthalmology,false,false,1,785,2070,0.7821,0.9059,0.2179,0.3733,0.1647,0.2286,0.0625,0.0,0.0,1.0,0.0,0.0,0.3333,7.826
p19,doctr,Ophthalmology,false,false,1,1065,3367,0.8218,0.9436,0.1782,0.237,0.094,0.1346,0.2993,0.0,0.0,0.0,0.25,0.0,0.0,8.359
p20,doctr,Ophthalmology,false,false,1,347,2690,0.8959,0.9823,0.1041,0.071,0.0278,0.0399,0.0161,0.0,0.0,0.0,0.0,0.0,0.0,7.676
p21,doctr,Ophthalmology,false,false,1,917,2566,0.7935,0.9106,0.2065,0.4031,0.1812,0.25,0.1562,0.0,0.0,0.0,0.0,0.0,0.7143,8.758
p22,doctr,Ophthalmology,false,false,1,687,2139,0.7845,0.8876,0.2155,0.4745,0.1826,0.2637,0.381,0.0,1.0,0.0,0.0,0.0,0.0,7.588
p23,doctr,Ophthalmology,false,false,1,920,3712,0.8389,0.9387,0.1611,0.4064,0.1413,0.2097,0.5507,0.0,0.0,0.0,0.0,0.0,0.0,7.849
p24,doctr,Ophthalmology,false,false,1,851,3413,0.8283,0.9131,0.1717,0.4971,0.1641,0.2467,0.589,0.0,0.0,1.0,0.2857,0.0,0.75,7.994
p25_1,doctr,Medicine / General Medicine,true,false,1,1033,3395,0.8262,0.9566,0.1738,0.2011,0.0723,0.1064,0.4694,0.0,0.0,0.0,0.5,0.25,0.25,8.701
p26,doctr,Medicine / General Medicine,true,false,1,1227,4959,0.8389,0.9492,0.1611,0.2889,0.0869,0.1336,0.8387,0.0,0.0,1.0,0.5,0.5,0.375,9.564
p27,doctr,Medicine / General Medicine,true,false,1,1199,7161,0.8835,0.9623,0.1165,0.2926,0.0631,0.1038,0.6,0.0,0.0,0.0,0.5333,0.4,0.4211,8.666
p28,doctr,Medicine / General Medicine,true,false,1,1281,6330,0.8575,0.9596,0.1425,0.2958,0.0707,0.1141,0.5513,0.25,0.0,0.0,0.2,0.2,0.36,9.224
p29,doctr,Medicine / General Medicine,true,false,1,1328,6343,0.8564,0.9647,0.1436,0.3137,0.0706,0.1153,0.7089,0.6667,0.0,1.0,0.8333,0.5,0.4412,10.59
p30,doctr,Medicine / General Medicine,true,false,1,984,5431,0.8698,0.9657,0.1302,0.2295,0.0553,0.0892,0.3051,0.0,0.0,0.0,0.3333,0.0,0.2381,9.29
p31_1,doctr,Surgery,true,false,1,1048,5841,0.8654,0.9638,0.1346,0.2973,0.0663,0.1085,0.6892,0.3333,0.0,0.0,0.375,0.0,0.3333,9.04
p32_1,doctr,Surgery,true,false,1,923,3754,0.8277,0.9381,0.1723,0.2988,0.0893,0.1374,0.8222,0.0,0.0,1.0,0.0,0.0,0.4167,8.737
p33_1,doctr,Medicine / General Medicine,true,false,1,1003,4667,0.8562,0.9666,0.1438,0.2308,0.0542,0.0878,0.4658,0.0,0.0,0.0,0.0,0.25,0.25,9.817
p34_1,doctr,Medicine / General Medicine,true,false,1,1088,5134,0.8557,0.9551,0.1443,0.3088,0.0831,0.131,0.7333,0.0,0.0,1.0,0.0,0.8,0.3158,10.411
p35_1,doctr,Medicine / General Medicine,true,false,1,1121,5020,0.85,0.9527,0.15,0.3317,0.0905,0.1423,0.6324,0.0,0.0,1.0,0.5,0.3333,0.1429,9.262
p36_1,doctr,Endocrinology,true,false,1,1816,3600,0.7722,0.9385,0.2278,0.2222,0.1338,0.167,0.5904,1.0,1.0,1.0,0.0,0.3333,0.5,10.976
p37_1,doctr,Dermatology,false,true,1,1494,5667,0.8246,0.9347,0.1754,0.4167,0.1232,0.1901,0.5568,0.6667,1.0,1.0,0.0909,0.0,0.5,9.357
p38_1,doctr,Medicine / General Medicine,false,false,1,1311,5021,0.8206,0.9132,0.1794,0.4578,0.1419,0.2166,0.8667,1.0,1.0,1.0,0.6,0.0,0.0833,8.923
p39_1,doctr,Medicine / General Medicine,false,false,1,1133,3745,0.8061,0.9198,0.1939,0.4971,0.1533,0.2343,0.8281,1.0,1.0,1.0,0.0,0.0,0.1667,8.137
p40_1,doctr,Radiotherapy,true,false,1,1757,6162,0.8191,0.931,0.1809,0.4683,0.1391,0.2145,0.5981,1.0,1.0,1.0,0.0,0.5556,0.2353,9.906
p41_1,doctr,Medicine / General Medicine,false,false,1,1119,4217,0.821,0.9169,0.179,0.5,0.1578,0.2399,0.925,1.0,1.0,1.0,0.0,0.0,0.25,8.884
p42_1,doctr,Endocrinology,false,true,1,1507,6277,0.8451,0.9579,0.1549,0.3308,0.0917,0.1436,0.6063,1.0,1.0,1.0,0.4,0.5,0.5,10.984
p43_1,doctr,Medicine / General Medicine,true,false,1,1347,5847,0.8464,0.9584,0.1536,0.3718,0.1033,0.1617,0.6106,0.6667,1.0,1.0,0.4,0.0,0.3,9.517
p44_1,doctr,Radiotherapy,false,false,1,1351,4220,0.7976,0.9369,0.2024,0.3561,0.1123,0.1708,0.7619,0.6667,1.0,1.0,0.0,0.5,0.4545,8.949
p45_1,doctr,Unknown / not annotated,false,false,1,1154,4367,0.8459,0.976,0.1541,0.1444,0.0432,0.0665,0.4286,0.5,0.0,1.0,0.0,0.0,0.0909,7.407
p45_2,doctr,Unknown / not annotated,false,false,1,1148,3990,0.8256,0.9419,0.1744,0.4526,0.1723,0.2496,0.6667,1.0,1.0,1.0,0.0,0.0,0.1,8.42
p45_3,doctr,Unknown / not annotated,true,false,1,3451,3574,0.6544,0.8791,0.3456,0.3803,0.4262,0.4019,1.0,1.0,1.0,1.0,0.0,0.0,1.0,13.234
p45_4,doctr,Unknown / not annotated,true,false,1,6147,7169,0.8122,0.9413,0.1878,0.3431,0.3015,0.321,0.962,1.0,1.0,1.0,0.0,0.0,0.0,19.443
