document_id,engine,department_inferred,is_multi_page,is_same_page_multi_view,non_empty_output,ocr_chars,gt_chars,cer,wer,normalized_edit_similarity,token_precision,token_recall,token_f1,numeric_token_recall,patient_name_recall_proxy,date_recall_proxy,age_gender_recall_proxy,medication_recall_proxy,vitals_recall_proxy,complaints_diagnosis_recall_proxy,runtime_seconds
p1,ollama_glm_ocr,Ophthalmology,false,false,1,783,1485,0.7811,0.9324,0.2189,0.2756,0.1937,0.2275,0.2941,0.0,1.0,0.0,0.0,0.0,0.0,2.263
p2,ollama_glm_ocr,Ophthalmology,false,false,1,1076,1983,0.77,0.9122,0.23,0.3365,0.2194,0.2657,0.7619,1.0,1.0,1.0,0.3333,0.0,1.0,2.384
p3,ollama_glm_ocr,Ophthalmology,false,false,1,1514,1695,0.8065,1.0886,0.1935,0.1636,0.1857,0.1739,0.5625,0.6667,0.0,1.0,0.5714,0.0,0.0,2.724
p4,ollama_glm_ocr,Ophthalmology,false,false,1,804,2167,0.8048,0.8968,0.1952,0.4522,0.2094,0.2863,0.7736,0.0,1.0,1.0,0.0,0.0,0.5,1.802
p5,ollama_glm_ocr,Ophthalmology,false,false,1,940,2329,0.79,0.9106,0.21,0.4162,0.2151,0.2836,0.7755,0.25,1.0,1.0,0.0,0.0,0.1667,2.255
p6,ollama_glm_ocr,Ophthalmology,false,false,1,855,2344,0.7995,0.9043,0.2005,0.4634,0.2021,0.2815,0.6491,0.5,1.0,0.0,0.3333,0.0,0.0,2.104
p7,ollama_glm_ocr,Ophthalmology,false,false,1,1788,2354,0.7774,0.9324,0.2226,0.3445,0.3183,0.3309,0.7736,0.0,0.0,1.0,0.5,0.0,0.0,3.243
p8,ollama_glm_ocr,Ophthalmology,false,false,1,1056,2780,0.8011,0.933,0.1989,0.3548,0.1778,0.2369,0.775,0.0,0.0,0.0,0.25,0.0,0.0,2.573
p9,ollama_glm_ocr,Ophthalmology,false,false,1,787,1770,0.7859,0.9291,0.2141,0.2653,0.1535,0.1945,0.48,0.5,1.0,1.0,0.0,0.0,0.0,1.889
p10,ollama_glm_ocr,Ophthalmology,false,false,1,923,2205,0.7968,0.9091,0.2032,0.4286,0.2287,0.2983,0.6552,0.0,0.0,1.0,0.5,0.0,0.0,2.26
p11,ollama_glm_ocr,Ophthalmology,false,false,1,781,2030,0.7803,0.8958,0.2197,0.4361,0.2014,0.2755,0.6897,0.75,1.0,0.0,0.2,0.0,0.0,1.804
p12,ollama_glm_ocr,Ophthalmology,false,false,1,1566,2849,0.7543,0.9,0.2457,0.4434,0.3186,0.3708,0.9062,0.5,1.0,1.0,0.0,0.0,0.0,3.131
p13,ollama_glm_ocr,Ophthalmology,false,false,1,881,2311,0.7945,0.8914,0.2055,0.3976,0.1886,0.2558,0.6585,1.0,1.0,0.0,0.6,0.0,0.75,2.083
p14,ollama_glm_ocr,Ophthalmology,false,false,1,750,1889,0.7819,0.8904,0.2181,0.4276,0.2123,0.2838,0.775,0.0,1.0,0.0,0.0,0.0,0.0,1.951
p15,ollama_glm_ocr,Ophthalmology,false,false,1,946,2819,0.7889,0.879,0.2111,0.5593,0.2138,0.3094,0.8022,0.0,0.0,0.0,0.0,0.0,0.5,2.251
p16,ollama_glm_ocr,Ophthalmology,false,false,1,804,2108,0.787,0.8717,0.213,0.4487,0.2041,0.2806,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.081
p17,ollama_glm_ocr,Ophthalmology,false,false,1,797,2002,0.7877,0.8804,0.2123,0.4641,0.2178,0.2965,0.5294,0.0,1.0,0.0,0.0,0.0,0.0,2.01
p18,ollama_glm_ocr,Ophthalmology,false,false,1,832,2070,0.7894,0.8824,0.2106,0.4259,0.2029,0.2749,0.5625,0.5,1.0,0.0,0.0,0.0,0.6667,2.089
p19,ollama_glm_ocr,Ophthalmology,false,false,1,725,3367,0.8669,0.953,0.1331,0.2357,0.062,0.0982,0.0803,0.0,0.0,0.0,0.25,0.0,0.0,1.91
p20,ollama_glm_ocr,Ophthalmology,false,false,1,856,2690,0.8134,0.8712,0.1866,0.4969,0.1995,0.2847,0.3871,0.0,0.0,0.0,0.0,0.0,0.0,2.198
p21,ollama_glm_ocr,Ophthalmology,false,false,1,923,2566,0.804,0.8945,0.196,0.4815,0.2087,0.2912,0.5781,0.0,1.0,0.0,0.0,0.0,0.2857,2.195
p22,ollama_glm_ocr,Ophthalmology,false,false,1,746,2139,0.7817,0.8652,0.2183,0.5643,0.2219,0.3185,0.7143,0.5,1.0,0.0,0.0,0.0,0.0,2.014
