document_id,engine,department_inferred,is_multi_page,is_same_page_multi_view,non_empty_output,ocr_chars,gt_chars,cer,wer,normalized_edit_similarity,token_precision,token_recall,token_f1,numeric_token_recall,patient_name_recall_proxy,date_recall_proxy,age_gender_recall_proxy,medication_recall_proxy,vitals_recall_proxy,complaints_diagnosis_recall_proxy,runtime_seconds
p1,surya,Ophthalmology,false,false,1,790,1485,0.7731,0.9369,0.2269,0.3145,0.2252,0.2625,0.3824,0.0,0.0,0.0,0.0,0.0,0.0,77.367
p2,surya,Ophthalmology,false,false,1,968,1983,0.7821,0.9404,0.2179,0.3182,0.1975,0.2437,0.6667,0.0,1.0,1.0,0.3333,0.0,0.5,76.344
p3,surya,Ophthalmology,false,false,1,855,1695,0.7829,0.9536,0.2171,0.1455,0.1013,0.1194,0.75,0.3333,0.0,1.0,0.4286,0.0,0.0,69.487
p4,surya,Ophthalmology,false,false,1,1091,2167,0.7753,0.9381,0.2247,0.2531,0.1829,0.2123,0.4906,0.0,1.0,1.0,0.5,0.0,0.5,258.935
p5,surya,Ophthalmology,false,false,1,956,2329,0.7815,0.9302,0.2185,0.3909,0.2151,0.2775,0.6327,0.25,1.0,1.0,0.0,0.0,0.3333,78.939
p6,surya,Ophthalmology,false,false,1,808,2344,0.8102,0.9309,0.1898,0.3869,0.1729,0.239,0.4386,0.0,1.0,1.0,0.0,0.0,0.0,91.28
p7,surya,Ophthalmology,false,false,1,957,2354,0.7842,0.9268,0.2158,0.3802,0.2056,0.2669,0.6792,0.0,1.0,0.0,0.0,0.0,0.0,86.226
p8,surya,Ophthalmology,false,false,1,1238,2780,0.7892,0.9446,0.2108,0.3333,0.1917,0.2434,0.7875,0.5,1.0,0.0,0.0,0.0,0.0,211.902
p9,surya,Ophthalmology,false,false,1,798,1770,0.7847,0.937,0.2153,0.2452,0.1496,0.1858,0.64,0.5,1.0,1.0,0.0,0.0,0.0,55.409
p10,surya,Ophthalmology,false,false,1,970,2205,0.776,0.9208,0.224,0.375,0.2199,0.2773,0.6207,0.5,0.0,0.0,0.5,0.0,0.0,72.917
p11,surya,Ophthalmology,false,false,1,742,2030,0.7867,0.9132,0.2133,0.3957,0.191,0.2576,0.6552,0.25,1.0,0.5,0.2,0.0,0.0,53.754
p12,surya,Ophthalmology,false,false,1,970,2849,0.8062,0.9326,0.1938,0.4778,0.2256,0.3065,0.875,0.5,1.0,1.0,0.4,0.0,0.0,64.577
p13,surya,Ophthalmology,false,false,1,818,2311,0.7949,0.9171,0.2051,0.3939,0.1857,0.2524,0.2683,0.0,0.0,0.0,0.2,0.0,0.75,54.44
p14,surya,Ophthalmology,false,false,1,796,1889,0.8052,0.9384,0.1948,0.3509,0.2055,0.2592,0.325,0.0,0.0,0.0,0.0,0.0,0.0,72.024
p15,surya,Ophthalmology,false,false,1,995,2819,0.8053,0.9374,0.1947,0.4203,0.1879,0.2597,0.6374,0.0,0.0,0.0,0.3333,0.0,0.0,59.92
p16,surya,Ophthalmology,false,false,1,825,2108,0.7979,0.9038,0.2021,0.4192,0.2041,0.2745,0.4464,0.0,0.0,0.0,0.0,0.0,0.0,58.883
p17,surya,Ophthalmology,false,false,1,878,2002,0.7787,0.8834,0.2213,0.4181,0.227,0.2942,0.5882,0.0,1.0,0.0,0.0,0.0,0.0,42.329
p18,surya,Ophthalmology,false,false,1,789,2070,0.7932,0.9,0.2068,0.4136,0.1971,0.2669,0.75,1.0,0.0,0.0,0.0,0.0,0.3333,60.26
p19,surya,Ophthalmology,false,false,1,1116,3367,0.8215,0.9417,0.1785,0.2304,0.0996,0.1391,0.4964,0.0,0.0,0.0,0.0,0.0,0.0,66.336
p20,surya,Ophthalmology,false,false,1,910,2690,0.8234,0.9394,0.1766,0.3627,0.1768,0.2377,0.5161,0.0,0.0,0.0,0.0,0.0,0.0,52.801
p21,surya,Ophthalmology,false,false,1,1063,2566,0.779,0.9128,0.221,0.3756,0.1835,0.2465,0.3438,0.0,1.0,0.0,0.0,0.0,0.5714,56.601
p22,surya,Ophthalmology,false,false,1,716,2139,0.7817,0.8904,0.2183,0.4966,0.2022,0.2874,0.619,0.0,1.0,0.0,0.0,0.0,0.0,37.006
p23,surya,Ophthalmology,false,false,1,983,3712,0.8424,0.9461,0.1576,0.3676,0.1394,0.2022,0.6087,0.0,0.0,0.0,0.1111,0.0,0.0,108.037
p24,surya,Ophthalmology,false,false,1,928,3413,0.8374,0.9305,0.1626,0.4526,0.166,0.2429,0.7534,0.0,0.0,1.0,0.0,0.0,0.75,99.725
p25_1,surya,Medicine / General Medicine,true,false,1,1077,3395,0.8212,0.9545,0.1788,0.259,0.0888,0.1323,0.6327,0.0,0.0,1.0,0.5,0.5,0.5,203.302
