document_id,engine,department_inferred,is_multi_page,is_same_page_multi_view,non_empty_output,ocr_chars,gt_chars,cer,wer,normalized_edit_similarity,token_precision,token_recall,token_f1,numeric_token_recall,patient_name_recall_proxy,date_recall_proxy,age_gender_recall_proxy,medication_recall_proxy,vitals_recall_proxy,complaints_diagnosis_recall_proxy,runtime_seconds
p1,trocr,Ophthalmology,false,false,1,10,1485,0.9933,0.9955,0.0067,0.3333,0.0045,0.0089,0.0294,0.0,0.0,0.0,0.0,0.0,0.0,6.446
p2,trocr,Ophthalmology,false,false,1,10,1983,0.995,0.9969,0.005,0.25,0.0031,0.0062,0.0238,0.0,0.0,0.0,0.0,0.0,0.0,6.342
p3,trocr,Ophthalmology,false,false,1,14,1695,0.9917,0.9958,0.0083,0.3333,0.0042,0.0083,0.125,0.0,0.0,0.0,0.0,0.0,0.0,6.492
p4,trocr,Ophthalmology,false,false,1,10,2167,0.9954,0.9971,0.0046,0.3333,0.0029,0.0058,0.1132,0.0,0.0,0.0,0.0,0.0,0.0,6.868
p5,trocr,Ophthalmology,false,false,1,10,2329,0.9957,0.9972,0.0043,0.25,0.0028,0.0055,0.0204,0.0,0.0,0.0,0.0,0.0,0.0,7.338
p6,trocr,Ophthalmology,false,false,1,10,2344,0.9957,0.9973,0.0043,0.3333,0.0027,0.0053,0.0175,0.0,0.0,0.0,0.0,0.0,0.0,6.798
p7,trocr,Ophthalmology,false,false,1,10,2354,0.9958,0.9972,0.0042,0.25,0.0028,0.0056,0.0377,0.0,0.0,0.0,0.0,0.0,0.0,6.835
p8,trocr,Ophthalmology,false,false,1,16,2780,0.9942,0.9977,0.0058,0.3333,0.0023,0.0046,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,6.684
p9,trocr,Ophthalmology,false,false,1,13,1770,0.9927,0.9961,0.0073,0.25,0.0039,0.0078,0.16,0.0,0.0,0.0,0.0,0.0,0.0,6.431
p10,trocr,Ophthalmology,false,false,1,18,2205,0.9918,0.9971,0.0082,0.25,0.0029,0.0058,0.0172,0.0,0.0,0.0,0.0,0.0,0.0,6.686
p11,trocr,Ophthalmology,false,false,1,16,2030,0.9926,0.9965,0.0074,0.25,0.0035,0.0068,0.1379,0.0,0.0,0.0,0.0,0.0,0.0,6.186
p12,trocr,Ophthalmology,false,false,1,55,2849,0.9807,0.993,0.0193,0.3,0.007,0.0136,0.0417,0.0,0.0,0.0,0.0,0.0,0.0,6.379
p13,trocr,Ophthalmology,false,false,1,23,2311,0.99,0.9971,0.01,0.25,0.0029,0.0056,0.0976,0.0,0.0,0.0,0.0,0.0,0.0,6.289
p14,trocr,Ophthalmology,false,false,1,41,1889,0.9783,0.9966,0.0217,0.1667,0.0034,0.0067,0.025,0.0,0.0,0.0,0.0,0.0,0.0,6.816
p15,trocr,Ophthalmology,false,false,1,19,2819,0.9933,0.9978,0.0067,0.25,0.0022,0.0043,0.011,0.0,0.0,0.0,0.0,0.0,0.0,6.326
p16,trocr,Ophthalmology,false,false,1,10,2108,0.9953,0.9971,0.0047,0.25,0.0029,0.0058,0.0179,0.0,0.0,0.0,0.0,0.0,0.0,6.235
p17,trocr,Ophthalmology,false,false,1,15,2002,0.9925,1.0,0.0075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.521
p18,trocr,Ophthalmology,false,false,1,10,2070,0.9952,1.0,0.0048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.419
p19,trocr,Ophthalmology,false,false,1,10,3367,0.997,0.9962,0.003,0.5,0.0038,0.0075,0.0365,0.0,0.0,0.0,0.0,0.0,0.0,6.224
p20,trocr,Ophthalmology,false,false,1,18,2690,0.9933,0.9975,0.0067,0.3333,0.0025,0.005,0.0161,0.0,0.0,0.0,0.0,0.0,0.0,6.395
p21,trocr,Ophthalmology,false,false,1,9,2566,0.9965,0.9977,0.0035,0.3333,0.0023,0.0046,0.0156,0.0,0.0,0.0,0.0,0.0,0.0,6.185
p22,trocr,Ophthalmology,false,false,1,18,2139,0.9916,1.0,0.0084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.909
p23,trocr,Ophthalmology,false,false,1,24,3712,0.9935,0.9981,0.0065,0.2,0.0019,0.0037,0.087,0.0,0.0,0.0,0.0,0.0,0.0,7.274
p24,trocr,Ophthalmology,false,false,1,19,3413,0.9944,0.9961,0.0056,0.5,0.0039,0.0077,0.0685,0.0,0.0,0.0,0.0,0.0,0.0,6.161
p25_1,trocr,Medicine / General Medicine,true,false,1,24,3395,0.9932,0.9938,0.0068,0.4286,0.0062,0.0122,0.3265,0.0,0.0,0.0,0.0,0.0,0.0,6.57
p26,trocr,Medicine / General Medicine,true,false,1,52,4959,0.9897,0.9933,0.0103,0.7,0.0094,0.0185,0.5323,0.0,0.0,0.0,0.0,0.0,0.0625,6.923
p27,trocr,Medicine / General Medicine,true,false,1,36,7161,0.9951,0.9972,0.0049,0.5556,0.0047,0.0093,0.3727,0.0,0.0,0.0,0.0,0.0,0.0,6.38
