document_id,department,schema_parse_success,scalar_exact_accuracy,scalar_lenient_accuracy,entity_exact_f1,entity_lenient_f1,hallucination_rate,missing_entity_rate,annotation_gap_rate,overall_extraction_score,runtime_seconds,status,failure_label,likely_hallucination_count,annotation_gap_candidate_count,manual_review_required_count
p1,Ophthalmology,1,0.7143,0.7143,0.0,0.0,0.2857,1.0,0.5714,0.3143,13.226,success,,2,4,1
p2,Ophthalmology,1,0.3571,0.4286,0.0,0.0,0.0,1.0,1.0,0.2857,17.541,success,,0,9,0
p3,Ophthalmology,1,0.5,0.5,0.0,0.0,0.0,1.0,1.0,0.3,9.954,success,,0,6,0
p4,Ophthalmology,1,0.5,0.5,0.0,0.0357,0.0,0.8462,0.875,0.3161,13.596,success,,0,14,0
p5,Ophthalmology,1,0.3571,0.3571,0.0,0.0625,0.0,0.9375,0.9846,0.2996,29.173,success,,0,64,0
p6,Ophthalmology,1,0.6429,0.7143,0.0,0.0,0.1429,1.0,0.8571,0.3286,11.739,success,,1,6,0
p7,Ophthalmology,1,0.4286,0.5,0.0,0.0,0.0,1.0,1.0,0.3,9.691,success,,0,5,0
p8,Ophthalmology,1,0.2857,0.2857,0.0,0.0294,0.0588,0.9091,0.8235,0.2645,18.13,success,,1,14,0
p9,Ophthalmology,1,0.3571,0.4286,0.0,0.0,0.0,1.0,1.0,0.2857,10.61,success,,0,6,0
p10,Ophthalmology,1,0.2857,0.3571,0.0,0.125,0.0,0.9375,0.9706,0.3277,21.41,success,,0,33,0
p11,Ophthalmology,1,0.2857,0.4286,0.0,0.0,0.0,1.0,1.0,0.2857,8.859,success,,0,4,0
p12,Ophthalmology,1,0.3571,0.4286,0.0,0.0,0.0,1.0,1.0,0.2857,17.383,success,,0,16,0
p13,Ophthalmology,1,0.6429,0.7143,0.0,0.0,0.0,1.0,1.0,0.3429,15.144,success,,0,8,0
p14,Ophthalmology,1,0.5714,0.5714,0.0,0.0,0.0,1.0,0.0,0.3143,7.405,success,,0,0,0
p15,Ophthalmology,1,0.4286,0.4286,0.0,0.0,0.0769,1.0,0.9231,0.278,17.426,success,,1,12,0
p16,Ophthalmology,1,0.6429,0.6429,0.0,0.0,0.0,1.0,1.0,0.3286,12.407,success,,0,11,0
p17,Ophthalmology,1,0.7143,0.7857,0.0,0.0,0.3333,1.0,0.6667,0.3238,8.397,success,,1,2,0
p18,Ophthalmology,1,0.5714,0.6429,0.0,0.0,0.1111,1.0,0.8889,0.3175,15.835,success,,1,8,0
p19,Ophthalmology,1,0.4286,0.4286,0.0,0.0,0.0,1.0,1.0,0.2857,15.619,success,,0,7,0
p20,Ophthalmology,1,0.3571,0.3571,0.0,0.0,0.0,1.0,0.0,0.2714,9.11,success,,0,0,0
p21,Ophthalmology,1,0.5,0.5714,0.0,0.0,0.0,1.0,0.8571,0.3143,12.09,success,,0,6,1
p22,Ophthalmology,1,0.7857,0.7857,0.0,0.0,0.0,1.0,0.8889,0.3571,13.958,success,,0,8,1
p23,Ophthalmology,1,0.3571,0.4286,0.0,0.0,0.0,1.0,1.0,0.2857,19.21,success,,0,39,0
p24,Ophthalmology,1,0.5714,0.6429,0.0,0.125,0.0,0.95,0.9412,0.3848,19.177,success,,0,16,0
p25_1,Medicine / General Medicine,1,0.4286,0.4286,0.0,0.0,0.0,1.0,1.0,0.2857,25.189,success,,0,35,0
p26,Medicine / General Medicine,0,,,,,,,,,39.741,failed,json_parse_failed,,,
p27,Medicine / General Medicine,1,0.3571,0.4286,0.0,0.0135,0.0,0.9444,0.9697,0.2918,40.388,success,,0,64,0
