document_id,department,schema_parse_success,scalar_exact_accuracy,scalar_lenient_accuracy,entity_exact_f1,entity_lenient_f1,hallucination_rate,missing_entity_rate,annotation_gap_rate,overall_extraction_score,runtime_seconds,status,failure_label,likely_hallucination_count,annotation_gap_candidate_count,manual_review_required_count
p1,Ophthalmology,1,0.5,0.5714,0.0,0.0,0.0,1.0,0.5,0.3143,13.715,success,,0,2,2
p2,Ophthalmology,1,0.6429,0.6429,0.0,0.0,0.0,1.0,1.0,0.3286,39.193,success,,0,16,0
p3,Ophthalmology,1,0.5714,0.8571,0.0,0.0625,0.0,0.8,0.8333,0.3996,16.634,success,,0,10,1
p4,Ophthalmology,1,0.6429,0.7857,0.0,0.0,0.0,1.0,1.0,0.3571,14.925,success,,0,7,0
p5,Ophthalmology,1,0.3571,0.4286,0.0,0.0625,0.0,0.9375,0.75,0.3138,12.821,success,,0,3,0
p6,Ophthalmology,1,0.6429,0.7857,0.0,0.0,0.0,1.0,1.0,0.3571,10.747,success,,0,7,0
p7,Ophthalmology,1,0.3571,0.5,0.0,0.0,0.0,1.0,1.0,0.3,9.456,success,,0,5,0
p8,Ophthalmology,1,0.5714,0.5714,0.0,0.0147,0.0667,0.9545,0.8667,0.3142,14.38,success,,1,13,0
p9,Ophthalmology,1,0.5,0.5714,0.0,0.0,0.0,1.0,1.0,0.3143,15.813,success,,0,18,0
p10,Ophthalmology,0,,,,,,,,,11.536,failed,schema_invalid_wrong_json_shape,,,
p11,Ophthalmology,1,0.6429,0.6429,0.0,0.0,0.0,1.0,1.0,0.3286,12.882,success,,0,21,0
p12,Ophthalmology,1,0.3571,0.5,0.0,0.0,0.0,1.0,1.0,0.3,9.56,success,,0,2,0
p13,Ophthalmology,1,0.7143,0.7143,0.0,0.0,0.0,1.0,0.5556,0.3429,11.312,success,,0,5,0
p14,Ophthalmology,1,0.6429,0.7143,0.0,0.0,0.0,1.0,1.0,0.3429,12.812,success,,0,8,0
p15,Ophthalmology,1,0.3571,0.5,0.0,0.0,0.0,1.0,1.0,0.3,17.385,success,,0,9,0
p16,Ophthalmology,1,0.6429,0.6429,0.0,0.0,0.1429,1.0,0.8571,0.3143,11.932,success,,1,6,0
p17,Ophthalmology,1,0.7143,0.7143,0.0,0.0,0.5,1.0,0.5,0.2929,11.6,success,,1,1,0
p18,Ophthalmology,1,0.6429,0.7857,0.0,0.0833,0.0,0.9375,0.9091,0.3946,35.862,success,,0,10,0
p19,Ophthalmology,1,0.5714,0.5714,0.0,0.0,0.0,1.0,1.0,0.3143,23.19,success,,0,7,0
p20,Ophthalmology,1,0.3571,0.5,0.0,0.0089,0.0,0.9333,0.9655,0.304,29.143,success,,0,28,0
p21,Ophthalmology,1,0.6429,0.6429,0.0,0.0208,0.0,0.9375,0.8889,0.3379,31.609,success,,0,8,0
p22,Ophthalmology,1,0.7143,0.7143,0.0,0.0,0.25,1.0,0.75,0.3179,24.072,success,,1,3,0
p23,Ophthalmology,1,0.5714,0.6429,0.0,0.0114,0.0,0.9545,0.9655,0.3337,28.93,success,,0,28,0
p24,Ophthalmology,1,0.7857,0.7857,0.0,0.125,0.0,0.95,0.8,0.4134,20.146,success,,0,4,0
