family,track,system,department,records,primary_score
structured,direct_vlm,google_gemini_2_5_flash,Dermatology,2,0.3247
structured,hybrid,qwen3_vl_raw_ocr_qwen25_14b,Dermatology,2,0.32195
structured,hybrid,glm_ocr_qwen25_14b,Dermatology,2,0.3113
structured,hybrid,qwen3_vl_raw_ocr_qwen3_8b,Dermatology,2,0.30735
structured,direct_vlm,hf_qwen25_vl_72b,Dermatology,2,0.302
structured,direct_vlm,qwen3_27b,Dermatology,2,0.2796499999999999
structured,direct_vlm,qwen3_27b,Dermatology / Dermatology Venereology,1,0.3704
structured,direct_vlm,qwen3_vl,Dermatology / Dermatology Venereology,1,0.3704
structured,hybrid,surya_qwen25_14b,Dermatology / Dermatology Venereology,1,0.3571
structured,hybrid,glm_ocr_qwen25_14b,Dermatology / Dermatology Venereology,1,0.348
structured,hybrid,glm_ocr_qwen3_8b,Dermatology / Dermatology Venereology,1,0.3368
structured,direct_vlm,google_gemini_2_5_flash,Dermatology / Dermatology Venereology,1,0.3301
structured,hybrid,glm_ocr_qwen3_8b,ENT,2,0.37945
structured,direct_vlm,qwen3_27b,ENT,2,0.36235
structured,direct_vlm,qwen3_vl,ENT,2,0.36235
structured,direct_vlm,google_gemini_2_5_flash,ENT,2,0.3516
structured,hybrid,glm_ocr_qwen25_14b,ENT,2,0.3429
structured,hybrid,qwen3_vl_raw_ocr_qwen3_8b,ENT,2,0.3385
structured,direct_vlm,google_gemini_2_5_flash,ENT [from p54 context],1,0.4489
structured,hybrid,glm_ocr_qwen3_8b,ENT [from p54 context],1,0.4373
structured,direct_vlm,hf_qwen25_vl_72b,ENT [from p54 context],1,0.4318
structured,hybrid,glm_ocr_qwen25_14b,ENT [from p54 context],1,0.4191
structured,hybrid,qwen3_vl_raw_ocr_qwen25_14b,ENT [from p54 context],1,0.3585
structured,direct_vlm,qwen3_27b,ENT [from p54 context],1,0.3495
structured,direct_vlm,qwen3_27b,Endocrinology And Metabolism-Endocrinology And Metabolism,1,0.408
structured,direct_vlm,qwen3_vl,Endocrinology And Metabolism-Endocrinology And Metabolism,1,0.408
structured,direct_vlm,hf_qwen25_vl_72b,Endocrinology And Metabolism-Endocrinology And Metabolism,1,0.3686
structured,hybrid,surya_qwen25_14b,Endocrinology And Metabolism-Endocrinology And Metabolism,1,0.3528
