family,track,system,records,avg_runtime_seconds
structured,direct_vlm,ollama_llava_13b,125,6.30452
structured,direct_vlm,google_gemini_2_5_flash,125,
structured,direct_vlm,hf_qwen25_vl_72b,125,
structured,direct_vlm,qwen3_27b,125,
structured,direct_vlm,qwen25_vl_7b_local,125,
structured,direct_vlm,qwen3_vl,125,
structured,hybrid,trocr_qwen25_14b,125,8.731176
structured,hybrid,docling_qwen25_14b,125,12.388408000000002
structured,hybrid,easyocr_qwen25_14b,125,13.456936
structured,hybrid,doctr_qwen25_14b,125,13.782391999999998
structured,hybrid,docling_qwen3_8b,125,13.848536
structured,hybrid,glm_ocr_qwen25_14b,125,13.948696
structured,hybrid,qwen3_vl_raw_ocr_qwen25_14b,125,14.17716
structured,hybrid,glm_ocr_qwen3_8b,125,16.055
structured,hybrid,ollama_qwen3_vl_8b,125,16.480984
structured,hybrid,qwen3_vl_raw_ocr_qwen3_8b,125,17.252424
structured,hybrid,surya_qwen25_14b,125,21.048896
structured,hybrid,doctr_qwen3_8b,125,
structured,hybrid,easyocr_qwen3_8b,125,
structured,hybrid,surya_qwen3_8b,125,
structured,hybrid,trocr_qwen3_8b,125,
raw_ocr,raw_ocr,docling,125,
raw_ocr,raw_ocr,doctr,125,
raw_ocr,raw_ocr,easyocr,125,
raw_ocr,raw_ocr,glm_ocr,125,
raw_ocr,raw_ocr,qwen3_vl_raw_ocr,125,
raw_ocr,raw_ocr,surya,125,
raw_ocr,raw_ocr,trocr,125,
