family,test,system_a,system_b,n,statistic,p_value,p_holm,significant_holm_0_05
raw_ocr,friedman,all,all,125,544.6838266838266,1.976050875201505e-114,1.2844330688809782e-112,True
structured,friedman,all,all,125,407.4304139172165,7.061391895939353e-85,4.519290813401186e-83,True
structured,mcnemar_exact,doctr_qwen3_8b,easyocr_qwen3_8b,125,0.0,1.0,1.0,False
structured,mcnemar_exact,doctr_qwen3_8b,google_gemini_2_5_flash,125,0.0,1.0,1.0,False
structured,mcnemar_exact,doctr_qwen3_8b,qwen3_27b,125,0.0,1.0,1.0,False
structured,mcnemar_exact,doctr_qwen3_8b,qwen25_vl_7b_local,125,0.0,1.0,1.0,False
structured,mcnemar_exact,doctr_qwen3_8b,qwen3_vl,125,0.0,1.0,1.0,False
structured,mcnemar_exact,doctr_qwen3_8b,trocr_qwen3_8b,125,0.0,1.0,1.0,False
structured,mcnemar_exact,easyocr_qwen3_8b,google_gemini_2_5_flash,125,0.0,1.0,1.0,False
structured,mcnemar_exact,easyocr_qwen3_8b,qwen3_27b,125,0.0,1.0,1.0,False
structured,mcnemar_exact,easyocr_qwen3_8b,qwen25_vl_7b_local,125,0.0,1.0,1.0,False
structured,mcnemar_exact,easyocr_qwen3_8b,qwen3_vl,125,0.0,1.0,1.0,False
structured,mcnemar_exact,easyocr_qwen3_8b,trocr_qwen3_8b,125,0.0,1.0,1.0,False
structured,mcnemar_exact,google_gemini_2_5_flash,qwen3_27b,125,0.0,1.0,1.0,False
structured,mcnemar_exact,google_gemini_2_5_flash,qwen25_vl_7b_local,125,0.0,1.0,1.0,False
structured,mcnemar_exact,google_gemini_2_5_flash,qwen3_vl,125,0.0,1.0,1.0,False
structured,mcnemar_exact,google_gemini_2_5_flash,trocr_qwen3_8b,125,0.0,1.0,1.0,False
structured,mcnemar_exact,qwen3_27b,qwen25_vl_7b_local,125,0.0,1.0,1.0,False
structured,mcnemar_exact,qwen3_27b,qwen3_vl,125,0.0,1.0,1.0,False
structured,mcnemar_exact,qwen3_27b,trocr_qwen3_8b,125,0.0,1.0,1.0,False
structured,mcnemar_exact,qwen25_vl_7b_local,qwen3_vl,125,0.0,1.0,1.0,False
structured,mcnemar_exact,qwen25_vl_7b_local,trocr_qwen3_8b,125,0.0,1.0,1.0,False
structured,mcnemar_exact,qwen3_vl,trocr_qwen3_8b,125,0.0,1.0,1.0,False
raw_ocr,wilcoxon,doctr,trocr,125,0.0,2.9639520916821065e-22,1.867289817759727e-20,True
raw_ocr,wilcoxon,glm_ocr,trocr,125,0.0,2.9639520916821065e-22,1.867289817759727e-20,True
raw_ocr,wilcoxon,qwen3_vl_raw_ocr,trocr,125,0.0,2.9640590498367484e-22,1.867289817759727e-20,True
raw_ocr,wilcoxon,surya,trocr,125,0.0,2.9640590498367484e-22,1.867289817759727e-20,True
raw_ocr,wilcoxon,easyocr,trocr,125,19.0,6.868925172085819e-22,4.052665851530632e-20,True
raw_ocr,wilcoxon,easyocr,glm_ocr,125,62.0,1.3098688804538781e-21,7.597239506632494e-20,True
raw_ocr,wilcoxon,easyocr,surya,125,97.0,2.9998775384563244e-21,1.7099301969201052e-19,True
raw_ocr,wilcoxon,docling,trocr,125,33.0,3.0643120473146346e-21,1.7160147464961954e-19,True
raw_ocr,wilcoxon,easyocr,qwen3_vl_raw_ocr,125,127.0,6.068323521891149e-21,3.3375779370401324e-19,True
raw_ocr,wilcoxon,docling,glm_ocr,125,129.0,6.358655171285823e-21,3.3813074635582225e-19,True
structured,wilcoxon,easyocr_qwen3_8b,qwen3_27b,125,62.0,6.261680488070783e-21,3.3813074635582225e-19,True
structured,wilcoxon,easyocr_qwen3_8b,qwen3_vl,125,62.0,6.261680488070783e-21,3.3813074635582225e-19,True
structured,wilcoxon,qwen3_27b,trocr_qwen3_8b,125,111.0,9.2802434692642e-21,4.732924169324744e-19,True
structured,wilcoxon,qwen3_vl,trocr_qwen3_8b,125,111.0,9.2802434692642e-21,4.732924169324744e-19,True
raw_ocr,wilcoxon,docling,surya,125,156.0,1.1927399225622103e-20,5.844425620554831e-19,True
raw_ocr,wilcoxon,docling,qwen3_vl_raw_ocr,125,171.0,2.545078157692079e-20,1.221637515692198e-18,True
raw_ocr,wilcoxon,doctr,easyocr,125,189.5,2.587228051177106e-20,1.221637515692198e-18,True
structured,wilcoxon,doctr_qwen3_8b,qwen3_27b,125,163.5,4.8484300676502046e-20,2.2302778311190947e-18,True
structured,wilcoxon,doctr_qwen3_8b,qwen3_vl,125,163.5,4.8484300676502046e-20,2.2302778311190947e-18,True
structured,wilcoxon,google_gemini_2_5_flash,trocr_qwen3_8b,125,179.0,1.5996618847167062e-19,7.038512292753507e-18,True
structured,wilcoxon,easyocr_qwen3_8b,google_gemini_2_5_flash,125,228.0,2.2057558752348884e-19,9.48475026351002e-18,True
structured,wilcoxon,qwen3_27b,qwen25_vl_7b_local,125,281.0,4.883625748374267e-19,2.0511228143171926e-17,True
structured,wilcoxon,qwen25_vl_7b_local,qwen3_vl,125,281.0,4.883625748374267e-19,2.0511228143171926e-17,True
structured,wilcoxon,doctr_qwen3_8b,google_gemini_2_5_flash,125,364.0,2.0355894281714015e-18,8.142357712685606e-17,True
structured,wilcoxon,google_gemini_2_5_flash,qwen25_vl_7b_local,125,586.0,3.79145880647132e-16,1.4786689345238146e-14,True
raw_ocr,wilcoxon,doctr,glm_ocr,125,776.0,6.715956962439597e-15,2.552063645727047e-13,True
raw_ocr,wilcoxon,doctr,surya,125,783.5,1.2660525630287975e-14,4.684394483206551e-13,True
raw_ocr,wilcoxon,doctr,qwen3_vl_raw_ocr,125,923.5,1.116813879652108e-13,4.020529966747589e-12,True
raw_ocr,wilcoxon,docling,doctr,125,1058.0,1.294484197875475e-12,4.5306946925641625e-11,True
structured,wilcoxon,qwen25_vl_7b_local,trocr_qwen3_8b,125,1453.5,1.993204404904936e-08,6.776894976676783e-07,True
structured,wilcoxon,easyocr_qwen3_8b,qwen25_vl_7b_local,125,2040.0,7.636888323311358e-06,0.0002520173146692,True
structured,wilcoxon,doctr_qwen3_8b,trocr_qwen3_8b,125,1180.5,1.6801370609329084e-05,0.0005376438594985,True
raw_ocr,wilcoxon,glm_ocr,surya,125,2196.5,1.7890412880521916e-05,0.0005546027992961,True
structured,wilcoxon,doctr_qwen3_8b,qwen25_vl_7b_local,125,2067.0,6.728149107311403e-05,0.0020184447321934,True
raw_ocr,wilcoxon,qwen3_vl_raw_ocr,surya,125,2368.0,0.0001101169438041,0.0031933913703209,True
structured,wilcoxon,easyocr_qwen3_8b,trocr_qwen3_8b,125,1437.5,0.0004627580146675,0.0129572244106921,True
raw_ocr,wilcoxon,docling,easyocr,125,3354.0,0.1505178791729328,1.0,False
raw_ocr,wilcoxon,glm_ocr,qwen3_vl_raw_ocr,125,3521.0,0.3047839911672004,1.0,False
structured,wilcoxon,doctr_qwen3_8b,easyocr_qwen3_8b,125,1526.0,0.1864548300727585,1.0,False
structured,wilcoxon,google_gemini_2_5_flash,qwen3_27b,125,3663.0,0.704981964383352,1.0,False
structured,wilcoxon,google_gemini_2_5_flash,qwen3_vl,125,3663.0,0.704981964383352,1.0,False
structured,wilcoxon,qwen3_27b,qwen3_vl,125,0.0,1.0,1.0,False
