family,system,n,mean,ci_lower,ci_upper,bootstrap_iterations
raw_ocr,qwen3_vl_raw_ocr,125,0.2237959999999999,0.2098967199999999,0.23772666,10000
raw_ocr,glm_ocr,125,0.223192,0.2097726,0.2375239799999999,10000
raw_ocr,surya,125,0.2082848,0.19461342,0.2218058399999999,10000
raw_ocr,doctr,125,0.162648,0.1480319399999999,0.1775363999999999,10000
raw_ocr,easyocr,125,0.1158928,0.1012306999999999,0.1312035399999999,10000
raw_ocr,docling,125,0.1140848,0.0992264599999999,0.12907638,10000
raw_ocr,trocr,125,0.0098967999999999,0.0043615799999999,0.01695604,10000
structured,qwen3_27b,125,0.3563016,0.3445136,0.36826606,10000
structured,qwen3_vl,125,0.3563016,0.34485342,0.36861794,10000
structured,google_gemini_2_5_flash,125,0.3530744,0.3406798399999999,0.3658341399999999,10000
structured,qwen3_vl_raw_ocr_qwen3_8b,119,0.3457672268907563,0.3346259453781511,0.356870294117647,10000
structured,glm_ocr_qwen3_8b,123,0.3405934959349593,0.3294926016260163,0.3518677642276423,10000
structured,qwen3_vl_raw_ocr_qwen25_14b,95,0.3370273684210526,0.325560947368421,0.348548447368421,10000
structured,glm_ocr_qwen25_14b,92,0.3362402173913043,0.3253206521739131,0.3477448097826087,10000
structured,hf_qwen25_vl_72b,76,0.3295631578947368,0.3139719078947368,0.3452488815789473,10000
structured,surya_qwen25_14b,102,0.3270392156862744,0.3166182843137254,0.3378137990196079,10000
structured,doctr_qwen25_14b,108,0.3153518518518517,0.3058996990740741,0.3254212962962963,10000
structured,docling_qwen25_14b,106,0.3106820754716982,0.3022669103773584,0.3194698113207548,10000
structured,easyocr_qwen25_14b,112,0.2999732142857143,0.2926195982142857,0.3077152455357143,10000
structured,docling_qwen3_8b,124,0.297233064516129,0.2891717338709677,0.3058001612903226,10000
structured,surya_qwen3_8b,6,0.2950666666666666,0.2589666666666667,0.3309333333333333,10000
structured,trocr_qwen25_14b,124,0.2942854838709677,0.2870257459677419,0.3019621169354838,10000
structured,qwen25_vl_7b_local,125,0.2906696000000001,0.28237586,0.2989113599999999,10000
structured,doctr_qwen3_8b,125,0.2720079999999999,0.26445156,0.27972892,10000
structured,easyocr_qwen3_8b,125,0.2694487999999999,0.2617179999999999,0.27710194,10000
structured,trocr_qwen3_8b,125,0.257216,0.24912212,0.2653258399999999,10000
