track,system,hallucination_rate,missing_entity_rate,annotation_gap_rate,schema_parse_success
hybrid,trocr_qwen25_14b,0.027666129032258065,0.9580024193548387,0.02107983870967742,0.992
hybrid,easyocr_qwen25_14b,0.06797678571428571,0.9536125,0.24484107142857142,0.896
hybrid,surya_qwen3_8b,0.09686666666666666,1.0,0.17180000000000004,0.048
hybrid,doctr_qwen25_14b,0.10091944444444445,0.9363648148148148,0.26616203703703706,0.864
hybrid,docling_qwen25_14b,0.11435377358490566,0.9355245283018868,0.2678745283018868,0.848
hybrid,qwen3_vl_raw_ocr_qwen25_14b,0.12855684210526316,0.8729715789473684,0.3137157894736842,0.76
hybrid,glm_ocr_qwen25_14b,0.14515652173913043,0.8795000000000001,0.3262967391304348,0.736
direct_vlm,hf_qwen25_vl_72b,0.15237763157894738,0.8883486842105263,0.5390236842105264,0.608
hybrid,surya_qwen25_14b,0.16209411764705883,0.9140411764705882,0.31669607843137254,0.816
hybrid,qwen3_vl_raw_ocr_qwen3_8b,0.16317478991596637,0.870881512605042,0.4135890756302521,0.952
direct_vlm,qwen3_27b,0.1760552,0.7530992,0.5059216,1.0
direct_vlm,qwen3_vl,0.1760552,0.7530992,0.5059216,1.0
hybrid,glm_ocr_qwen3_8b,0.18202926829268293,0.873350406504065,0.3953634146341463,0.984
direct_vlm,qwen25_vl_7b_local,0.19656800000000002,0.9186799999999999,0.29177519999999996,1.0
hybrid,doctr_qwen3_8b,0.2097192,0.9530592,0.3335512,1.0
hybrid,docling_qwen3_8b,0.21223225806451612,0.9410653225806451,0.34497177419354835,0.992
hybrid,easyocr_qwen3_8b,0.2195088,0.9483384,0.3545976,1.0
direct_vlm,google_gemini_2_5_flash,0.2219728,0.732268,0.42579199999999995,1.0
hybrid,trocr_qwen3_8b,0.3219616,0.9589296,0.16746,1.0
direct_vlm,ollama_llava_13b,,,,0.0
hybrid,ollama_qwen3_vl_8b,,,,0.0
